,output
0,"한식조리기능사반(필기+실기)
(17364) 경기도 이천시 영창로 205 이천직업전문학교 
031-635-7225
ck7225@hanmail.net
836,000 원
총110시간"
1,"합격! 전기(산업)기사 자격증 취득 필기
(17364) 경기도 이천시 영창로 205 이천직업전문학교 
031-635-7225
ck7225@hanmail.net
836,000 원
총110시간"
2,"의료종사자 핵심역량! 건강보험심사청구 실무
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
125,400 원
총30시간"
3,"요양보호사자격 취득과정
(17839) 경기도 평택시 평택로 160 2층 
031-658-7772
thenanoomedu@naver.com
880,000 원
총320시간"
4,"[핵집]빅데이터 분석기사(실기)
(06755) 서울특별시 서초구 바우뫼로20길 8 다산빌딩 2층 204호,205호(양재동) 
02-6956-4130
oncampus00@gmail.com
80,190 원
총27시간"
5,"[나눔씨패스]사회복지사1급 자격대비반(핵심이론+문제풀이)_2024
(14092) 경기도 안양시 만안구 문예로 35 익성빌딩 3층 
02-538-9745
info@joonganghrd.com
299,970 원
총101시간"
6,"엑셀로 배우는 알기쉬운 재무기초
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
50,490 원
총17시간"
7,"생산 서비스 분야의 핵심 인력이 되기 위한 CPIM의 모든 것(2)
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
8,"생산효율 향상을 위한 TPM 실무 - 자주보전
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
9,"의료종사자 직무필수핵심 의료법
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
92,070 원
총31시간"
10,"[전사원이 함께하는] 르네상스 리더십, 격변기에 부흥을 이끌다
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
56,430 원
총19시간"
11,"4차 산업혁명 경영학-인문학으로 보는 4차 산업혁명
(150972) 서울특별시 영등포구 경인로 775 에이스하이테크시티 2동 1004호 
02-2635-6790
fe98@epasskorea.com
50,490 원
총17시간"
12,"나 혼자 만든다, 프리미어
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
47,520 원
총16시간"
13,"능력자의 잇템! 엑셀 2016 +오피스 365
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
62,370 원
총21시간"
14,"R수록 쉬운 R프로그래밍 데이터분석 시각화 첫걸음
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
350,000 원
총30시간"
15,"[원패스] 전산회계 1급 종합반(필기+실기)
(47879) 부산광역시 동래구 충렬대로 276 청암빌딩 6층 
051-552-0809
usmart_edu@naver.com
115,830 원
총39시간"
